,title,link,no,district,area,price,amount,layout,three
0,名悦山庄,https://jn.ke.com/xiaoqu/456963263451026/,456963263451026,历下,旅游路,34667,33,4室2厅:181,False
1,重汽翡翠郡南区,https://jn.ke.com/xiaoqu/4511058068048/,4511058068048,天桥,长途汽车站,18853,229,2室2厅:93.31,False
2,茗筑美嘉,https://jn.ke.com/xiaoqu/457036833377760/,457036833377760,高新,康虹路,17119,93,2室2厅:91.38,False
3,中海国际御峰官邸,https://jn.ke.com/xiaoqu/459183846477484/,459183846477484,市中,二环南路,16888,115,3室2厅:138.43,True
4,鲁能领秀城中央公园,https://jn.ke.com/xiaoqu/4511059645626/,4511059645626,市中,领秀城,24717,133,3室1厅:101.33,True
5,鲁能领秀城C区,https://jn.ke.com/xiaoqu/4511059636231/,4511059636231,市中,领秀城,21709,132,3室1厅:118.17,True
6,盛世花城,https://jn.ke.com/xiaoqu/457172307825602/,457172307825602,高新,国际会展中心,18213,73,3室2厅:125.39,True
7,中海国际熙岸西区,https://jn.ke.com/xiaoqu/4511059543543/,4511059543543,市中,二环南路,17014,114,2室2厅:87.22,False
8,祥泰新河湾,https://jn.ke.com/xiaoqu/457416218660546/,457416218660546,高新,康虹路,16854,83,2室2厅:82.19,False
9,鲁能领秀公馆,https://jn.ke.com/xiaoqu/456946510613611/,456946510613611,市中,领秀城,20720,108,3室2厅:120,True
10,德润天玺西区,https://jn.ke.com/xiaoqu/456946815224945/,456946815224945,历城,汉峪,21658,54,2室2厅:91.95,False
11,恒大城二期,https://jn.ke.com/xiaoqu/4520050070080517/,4520050070080517,历城,王舍人,13630,95,2室2厅:96.6,False
12,泰悦赫府,https://jn.ke.com/xiaoqu/4520046520183287/,4520046520183287,历下,化纤厂路,19762,81,3室2厅:123.54,True
13,官扎营新区,https://jn.ke.com/xiaoqu/457011763498747/,457011763498747,天桥,堤口路,13638,143,2室1厅:61.86,False
14,海信贤文世家,https://jn.ke.com/xiaoqu/457352893320943/,457352893320943,高新,奥体中路,23211,45,3室2厅:98,True
15,三盛国际公园,https://jn.ke.com/xiaoqu/457352383452100/,457352383452100,历城,汉峪,23528,75,4室2厅:131.76,False
16,中海奥龙觀邸,https://jn.ke.com/xiaoqu/4511059559258/,4511059559258,高新,汉峪,27332,128,3室2厅:136.11,True
17,中国铁建国际城,https://jn.ke.com/xiaoqu/4511059940287/,4511059940287,历下,茂岭山,27520,26,1室1厅:56.11,False
18,龙湖水晶郦城,https://jn.ke.com/xiaoqu/4513667972952224/,4513667972952224,槐荫,西客站,17391,90,3室2厅:115,True
19,恒大名都,https://jn.ke.com/xiaoqu/4511058976297/,4511058976297,历城,唐冶,13151,148,3室2厅:133.91,True
20,盛世名门,https://jn.ke.com/xiaoqu/4511059376780/,4511059376780,天桥,北园大街,14230,107,3室1厅:93.22,True
21,鑫苑名家,https://jn.ke.com/xiaoqu/4511059264653/,4511059264653,天桥,水屯,15117,233,3室2厅:140.13,True
22,华润中央公园,https://jn.ke.com/xiaoqu/4511100788550/,4511100788550,市中,兴隆,19918,104,3室2厅:141.12,True
23,中海天悦府,https://jn.ke.com/xiaoqu/457349908811599/,457349908811599,高新,齐鲁软件园,23251,60,3室2厅:94.64,True
24,西城济水上苑,https://jn.ke.com/xiaoqu/456945011936363/,456945011936363,槐荫,西客站,12924,250,3室2厅:120.44,True
25,中海国际熙岸东区,https://jn.ke.com/xiaoqu/4511059538600/,4511059538600,市中,二环南路,18547,135,2室1厅:87,False
26,名士豪庭1区,https://jn.ke.com/xiaoqu/4511058334675/,4511058334675,历下,浆水泉区,25465,142,3室2厅:136.16,True
27,中海御山首府,https://jn.ke.com/xiaoqu/4514595555339963/,4514595555339963,历城,华山,12396,160,3室2厅:116,True
28,淮海东城御景,https://jn.ke.com/xiaoqu/456943980400039/,456943980400039,历下,盛福,17025,64,3室2厅:106.36,True
29,凤凰国际南区,https://jn.ke.com/xiaoqu/4513628250009462/,4513628250009462,历城,经十东路,19234,107,3室2厅:133.11,True
